XL2 Broadband Logging:		RBL\2016-08-31_SLM_006_123_Log.txt                                             
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-10242-E0, FW3.03
	Mic Type:       	NTi Audio M2230, SNo. 5494, User calibrated 2016-08-23  16:30
	Mic Sensitivity:	38.1 mV/Pa

# Measurement Setup
	Profile:        	RBL
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2016-08-31, 12:15:54
	End:            	2016-08-31, 14:13:36

# Broadband LOG Results
	Date        	Time      	Timer     	LZeq_dt 	LZeq    	LAeq_dt 	LAeq    	LAFmax_dt	LAFmin_dt	LAeq60' 	Pause   
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    	[dB]    	[dB]    	[dB]     	[dB]     	[dB]    	        
	2016-08-31  	12:15:55  	00:00:01  	71.4    	71.4    	55.5    	55.5    	56.3     	54.7     	55.5    	        
	2016-08-31  	12:15:56  	00:00:02  	72.3    	71.9    	56.0    	55.7    	56.7     	54.8     	55.7    	        
	2016-08-31  	12:15:57  	00:00:03  	72.9    	72.2    	56.4    	56.0    	57.0     	55.9     	56.0    	        
	2016-08-31  	12:15:58  	00:00:04  	74.0    	72.7    	56.2    	56.0    	56.7     	55.6     	56.0    	        
	2016-08-31  	12:15:59  	00:00:05  	72.9    	72.8    	55.9    	56.0    	56.9     	55.2     	56.0    	        
	2016-08-31  	12:16:00  	00:00:06  	75.3    	73.3    	58.3    	56.5    	59.0     	56.3     	56.5    	        
	2016-08-31  	12:16:01  	00:00:07  	76.8    	74.0    	59.7    	57.1    	61.3     	58.7     	57.1    	        
	2016-08-31  	12:16:02  	00:00:08  	75.7    	74.3    	58.1    	57.2    	59.5     	56.1     	57.2    	        
	2016-08-31  	12:16:03  	00:00:09  	73.8    	74.2    	56.1    	57.1    	57.2     	55.3     	57.1    	        
